chr19	59140699	59140719	1.07
chr11	2175453	2175473	1.01
chr22	31061195	31061215	2.59
chr16	391623	391643	1.16
chr13	112540765	112540785	4.63
chr15	41553596	41553616	1
chr21	33022627	33022647	57
chrX	152954872	152954892	1
chr7	116702551	116702571	4.33
chr7	127014992	127015012	1.27
chr19	59713466	59713486	2.14
chr19	59562104	59562124	1.8
chr13	27401332	27401352	1
chr22	31781842	31781862	1.61
chr7	126581007	126581027	1.64
chr13	29865107	29865127	3.52
chr9	131045649	131045669	1
chr10	55257221	55257241	3.93
chr7	90312394	90312414	1
chr22	30835216	30835236	22.51
chr11	5714780	5714800	1.3
chr19	59091934	59091954	19.01
chr22	31458234	31458254	1.26
chr16	145318	145338	1
chr14	53234689	53234709	1.7
chr22	31660539	31660559	2.21
chr5	141987683	141987703	1.76
chr22	31184558	31184578	1.18
chr7	26954289	26954309	2.35
chr11	64010849	64010869	1.16
chr16	275505	275525	1.55
chr16	110067	110087	1.17
chr22	30644758	30644778	1
chr6	108602345	108602365	2.08
chr22	30996322	30996342	1.25
chr7	142128132	142128146	1
chr22	31326493	31326513	4.83
chr22	30980261	30980281	2.95
chr19	59122963	59122983	160.56
chrX	122699949	122699969	1
chr1	227633279	227633299	18.64
chr20	31698617	31698637	7.28
chr20	44119448	44119468	18.14
chr22	30833114	30833134	114.59
chr2	165803240	165803260	41.62
chr8	9820071	9820091	10.09
chr1	1260295	1260315	6.49
chr11	72001500	72001521	29.37
chr19	12804363	12804383	244.05
chr2	230862435	230862456	140.71
chr19	59887712	59887732	136.1
chr6	153113720	153113740	29.37
chr20	10148319	10148329	338.24
chr14	92450340	92450360	753.32
chr15	87709201	87709221	11.12
chr2	234486385	234486405	13.23
chr20	61280784	61280805	1
chr19	59507757	59507777	66.49
chr2	219564848	219564869	8.56
chr21	33451737	33451757	51.07
chrX	48943525	48943545	46.53
chr19	4124203	4124224	36.28
chr5	131376300	131376320	53.98
chr11	115981636	115981656	186.13
chr22	31802559	31802579	119.44
chr19	51127872	51127892	2.91
chr16	164434	164454	19.21
chr16	160178	160198	3.66
chr13	78061541	78061562	48.31
chr20	60595598	60595619	10.32
chr8	143990504	143990525	35.9
chr1	26607774	26607794	364.24
chr1	110887033	110887053	24.42
chrX	32065774	32065794	185.02
chr8	24826245	24826266	11.15
chr11	46370840	46370860	193.2
chr19	60383380	60383400	147.7
chr19	59098325	59098345	152.64
chr19	10667633	10667654	131.86
chr7	126535207	126535227	564.13
chr3	125419250	125419270	113.57
chrX	152794151	152794172	110.79
chr8	35409506	35409526	80.44
chr22	15981395	15981416	31.23
chr10	105028754	105028774	210.1
chr1	154651076	154651097	7.97
chr16	82011506	82011526	47.55
chr7	130200940	130200961	48.03
chr17	3248000	3248021	39.39
chr11	27698799	27698819	12.95
chr20	5840349	5840369	14.33
chr5	145700445	145700466	120.19
chr15	70399192	70399213	88.35
chr1	114499363	114499383	34.01
chr10	26696931	26696951	119.24
chr11	125936579	125936600	129.56
chr1	203694879	203694900	79.6
chr5	151284508	151284529	321.52
chr3	182517155	182517175	52.36
chr17	35002298	35002318	86.17
chr2	171379112	171379133	20.13
chr8	80684340	80684362	36.41
chr16	88520413	88520434	213.11
chr19	51147827	51147847	138.15
chr18	53265509	53265530	80.28
chr7	8449128	8449148	83.3
chr4	158360990	158361011	112.66
chr8	67252432	67252452	140.22
chr2	219881285	219881305	87.9
chr16	8933389	8933410	71.92
chr19	56748431	56748452	41.86
chr1	152807054	152807074	75.2
chr15	71426296	71426316	261.5
