chr19	59311031	59311090
chr2	37312263	37312324
chr6	108722482	108722560
chr7	100675429	100675503
chr2	234428013	234428077
chr5	68566396	68566455
chrX	152890233	152890298
chr5	132229903	132229979
chr1	149429281	149429359
chr16	66398327	66398404
chr22	30479804	30479897
chr2	65308233	65308330
chr11	64335070	64335134
chr19	59064282	59064341
chr7	23188048	23188124
chr19	59651998	59652074
chr9	129253468	129253543
chr11	61492080	61492139
chr1	3763713	3763792
chr3	161599928	161599993
chrX	151750171	151750241
chr7	16652257	16652335
chr16	70685018	70685097
chr21	43172696	43172775
chr11	64247477	64247554
chr10	31647655	31647751
chr6	110119037	110119115
chr6	158509342	158509412
chr9	130980478	130980537
chr1	152216965	152217032
chr15	41572664	41572730
chr1	74971496	74971564
chr20	33716277	33716374
chr19	46595053	46595149
chr17	55325160	55325238
chr11	66162601	66162680
chr1	203985915	203985989
chr16	85146284	85146345
chr3	63984157	63984220
chr13	78878177	78878243
chr15	41590122	41590221
chr21	33837286	33837350
chr19	52679284	52679378
chr2	9481138	9481217
chr12	26982260	26982349
chr4	159812797	159812894
chr15	98960139	98960216
chr13	49554104	49554165
chr15	70455487	70455558
chrX	153398080	153398158
chr6	139737411	139737485
chr19	59989385	59989462
chr1	210275446	210275525
chr17	27701287	27701357
chr8	38153152	38153247
chr15	41906374	41906442
chr14	73181381	73181480
chr14	19992801	19992880
chr18	59788241	59788320
chr2	26321024	26321094
chr1	229443496	229443595
chr9	130882924	130883007
chr5	74098660	74098759
chr7	75515219	75515312
chr12	4517948	4518018
chr11	61316617	61316693
chr19	10900366	10900442
chr22	38246166	38246245
chr17	43480332	43480405
chr16	84390688	84390775
chr1	164004707	164004785
chr16	65818495	65818571
chr15	97608912	97608991
chr14	92743155	92743234
chr2	220170773	220170836
chr8	121526783	121526858
chr14	66896307	66896373
chr19	47328429	47328507
chr14	93617254	93617333
chr5	72829980	72830040
chr1	9925988	9926084
chr19	2378563	2378627
chr1	244796211	244796284
chr3	47299065	47299142
chr9	33254967	33255041
chr4	106849366	106849433
chr17	18159261	18159335
chr12	6642537	6642611
chr8	101232012	101232085
chr14	23981930	23981997
chr21	32907011	32907077
chr1	159354426	159354521
chr20	697210	697280
chr11	64303000	64303060
chr14	74249538	74249615
chr3	14195262	14195330
chr19	12641434	12641512
chr1	52642820	52642881
chr5	153398646	153398724
chr1	32460528	32460604
chr4	84595981	84596054
chr5	140007528	140007595
chr1	149638602	149638700
chr14	56805343	56805434
chr16	27187641	27187733
chr1	168030753	168030851
chr7	127012847	127012916
chr11	9439002	9439076
chr1	31542136	31542195
chr11	111255091	111255164
chr11	46914863	46914942
chr1	178118519	178118586
chr6	88356386	88356465
chrX	13662581	13662643
chr7	35701294	35701388
chr3	37009974	37010034
chr1	45822203	45822278
chrX	153428996	153429075
chr12	70344022	70344098
chr17	19221949	19222021
chr14	77244086	77244153
chr17	30312604	30312683
chr17	43263921	43263997
chr10	44816328	44816427
chr2	105320371	105320458
chr5	34951564	34951643
chr20	33335996	33336075
chr1	37930633	37930712
chr17	59204796	59204870
chr16	219548	219621
chr4	113777751	113777829
chr2	219232436	219232507
chr9	130258060	130258139
chr9	101901105	101901177
chr12	41006196	41006280
chr1	149493733	149493812
chr16	69114918	69114994
chr22	35502414	35502479
chr13	44461600	44461660
chr9	34610506	34610594
chr20	33593123	33593222
chr11	18300335	18300397
chr22	36679587	36679661
chr15	32181341	32181420
chr1	149521167	149521232
chr5	148910803	148910882
chr15	41904168	41904245
chr9	103200953	103201017
chr7	89870687	89870754
chr19	10625462	10625539
